regionCode,sidoName,sigunguName,population,areaKm2,centerLatitude,centerLongitude
11110,서울특별시,종로구,136139,23.91,,
11140,서울특별시,중구,117493,9.96,,
11170,서울특별시,용산구,199575,21.87,,
11200,서울특별시,성동구,274346,16.82,,
11215,서울특별시,광진구,330802,17.06,,
11230,서울특별시,동대문구,353070,14.22,,
11260,서울특별시,중랑구,376282,18.5,,
11290,서울특별시,성북구,421289,24.58,,
11305,서울특별시,강북구,277695,23.6,,
11320,서울특별시,도봉구,298067,20.65,,
11350,서울특별시,노원구,480549,35.44,,
11380,서울특별시,은평구,453056,29.71,,
11410,서울특별시,서대문구,299531,17.63,,
11440,서울특별시,마포구,356154,23.85,,
11470,서울특별시,양천구,420595,17.41,,
11500,서울특별시,강서구,548268,41.45,,
11530,서울특별시,구로구,382531,20.12,,
11545,서울특별시,금천구,222421,13.02,,
11560,서울특별시,영등포구,371691,24.55,,
11590,서울특별시,동작구,371543,16.36,,
11620,서울특별시,관악구,477503,29.57,,
11650,서울특별시,서초구,414616,46.97,,
11680,서울특별시,강남구,552631,39.5,,
11710,서울특별시,송파구,649715,33.88,,
11740,서울특별시,강동구,498701,24.59,,
26110,부산광역시,중구,36203,3.01,,
26140,부산광역시,서구,101028,13.97,,
26170,부산광역시,동구,83146,10.12,,
26200,부산광역시,영도구,100423,14.2,,
26230,부산광역시,부산진구,364481,29.67,,
26260,부산광역시,동래구,270741,16.63,,
26290,부산광역시,남구,254774,26.82,,
26320,부산광역시,북구,260432,39.37,,
26350,부산광역시,해운대구,370275,51.52,,
26380,부산광역시,사하구,281665,41.78,,
26410,부산광역시,금정구,205483,65.28,,
26440,부산광역시,강서구,154119,182.16,,
26470,부산광역시,연제구,211580,12.11,,
26500,부산광역시,수영구,168955,10.22,,
26530,부산광역시,사상구,192275,36.1,,
26710,부산광역시,기장군,175402,218.34,,
27110,대구광역시,중구,101815,7.06,,
27140,대구광역시,동구,338544,182.11,,
27170,대구광역시,서구,163456,17.32,,
27200,대구광역시,남구,141659,17.43,,
27230,대구광역시,북구,406587,93.95,,
27260,대구광역시,수성구,407820,76.54,,
27290,대구광역시,달서구,512963,62.37,,
27710,대구광역시,달성군,251993,428.36,,
27720,대구광역시,군위군,22552,614.33,,
28110,인천광역시,중구,158958,140.38,,
28140,인천광역시,동구,59482,7.25,,
28177,인천광역시,미추홀구,418721,24.84,,
28185,인천광역시,연수구,410280,56.19,,
28200,인천광역시,남동구,478762,57.45,,
28237,인천광역시,부평구,487661,32.01,,
28245,인천광역시,계양구,276125,45.57,,
28260,인천광역시,서구,624358,119.06,,
28710,인천광역시,강화군,69556,411.41,,
28720,인천광역시,옹진군,19327,172.95,,
29110,광주광역시,동구,105344,49.32,,
29140,광주광역시,서구,274408,47.74,,
29155,광주광역시,남구,205428,60.96,,
29170,광주광역시,북구,416780,120.26,,
29200,광주광역시,광산구,382841,222.69,,
30110,대전광역시,동구,218050,136.69,,
30140,대전광역시,중구,224034,62.19,,
30170,대전광역시,서구,464428,95.54,,
30200,대전광역시,유성구,371855,176.61,,
30230,대전광역시,대덕구,163823,68.74,,
31110,울산광역시,중구,202823,37.0,,
31140,울산광역시,남구,304418,74.02,,
31170,울산광역시,동구,147633,36.07,,
31200,울산광역시,북구,213512,157.35,,
31710,울산광역시,울주군,218370,758.38,,
36110,세종특별자치시,세종특별자치시,390972,464.96,,
41110,경기도,수원시,1185332,121.1,,
41111,경기도,수원시 장안구,269791,27.56,,
41113,경기도,수원시 권선구,360118,36.79,,
41115,경기도,수원시 팔달구,193325,19.75,,
41117,경기도,수원시 영통구,362098,36.99,,
41130,경기도,성남시,901110,141.63,,
41131,경기도,성남시 수정구,234987,36.93,,
41133,경기도,성남시 중원구,199084,31.29,,
41135,경기도,성남시 분당구,467039,73.41,,
41150,경기도,의정부시,461879,81.55,,
41170,경기도,안양시,562143,58.5,,
41171,경기도,안양시 만안구,234045,24.36,,
41173,경기도,안양시 동안구,328098,34.14,,
41190,경기도,부천시,754851,53.46,,
41210,경기도,광명시,303726,38.52,,
41220,경기도,평택시,620754,458.45,,
41250,경기도,동두천시,86186,95.67,,
41270,경기도,안산시,608883,156.47,,
41271,경기도,안산시 상록구,320505,82.36,,
41273,경기도,안산시 단원구,288378,74.11,,
41280,경기도,고양시,1057166,268.13,,
41281,경기도,고양시 덕양구,482849,122.47,,
41285,경기도,고양시 일산동구,298158,75.62,,
41287,경기도,고양시 일산서구,276159,70.04,,
41290,경기도,과천시,81008,35.87,,
41310,경기도,구리시,188040,33.34,,
41360,경기도,남양주시,727373,458.13,,
41370,경기도,오산시,254747,42.69,,
41390,경기도,시흥시,514996,139.94,,
41410,경기도,군포시,249253,36.42,,
41430,경기도,의왕시,165701,54.03,,
41450,경기도,하남시,327423,92.99,,
41460,경기도,용인시,1090559,591.25,,
41461,경기도,용인시 처인구,287270,155.74,,
41463,경기도,용인시 기흥구,434408,235.52,,
41465,경기도,용인시 수지구,368881,199.99,,
41480,경기도,파주시,534503,673.96,,
41500,경기도,이천시,225911,461.46,,
41550,경기도,안성시,199314,553.51,,
41570,경기도,김포시,483964,276.6,,
41590,경기도,화성시,999673,700.64,,
41610,경기도,광주시,400323,430.99,,
41630,경기도,양주시,297352,310.49,,
41650,경기도,포천시,140454,827.17,,
41670,경기도,여주시,113383,608.21,,
41800,경기도,연천군,43107,677.94,,
41820,경기도,가평군,62048,842.82,,
41830,경기도,양평군,126995,877.82,,
43110,충청북도,청주시,859869,941.05,,
43111,충청북도,청주시 상당구,192850,211.06,,
43112,충청북도,청주시 서원구,187809,205.54,,
43113,충청북도,청주시 흥덕구,293157,320.83,,
43114,충청북도,청주시 청원구,186053,203.62,,
43130,충청북도,충주시,205872,983.26,,
